网站,品牌,产品名称,规格,原价货币,原价金额,人民币税前,人民币税后,解析雪茄支数,单支人民币税后,链接
Cigar VIU,Cohiba,Cohiba Wide Short Humidor 2025 Limited Edition,Box of 60,CHF,279.00,2287.80,3431.70,60,57.20,https://cigarviu.com/products/cohiba-wide-short-humidor-2025-limited-edition
Cigar VIU,Por Larrañaga,Por larrañaga Intemporales Edicion Regional Suiza,Box of 25,CHF,750.00,6150.00,9225.00,25,369.00,https://cigarviu.com/products/por-larranaga-intemporales-edicion-regional-suiza
Cigar VIU,Por Larrañaga,Por Larrañaga Petit Coronas,Box of 50,CHF,575.00,4715.00,7072.50,50,141.45,https://cigarviu.com/products/por-larranaga-petit-coronas-slb
Cigar VIU,Hoyo,Hoyo de Monterrey Epicure de Luxe LCDH,默认,CHF,255.00,2091.00,3136.50,,,https://cigarviu.com/products/hoyo-de-monterrey-epicure-de-luxe-lcdh
Cigar VIU,Cohiba,Cohiba Wide Short Humidor 2025,默认,CHF,265.00,2173.00,3259.50,,,https://cigarviu.com/products/cohiba-wide-short-humidor-2025
Cigar VIU,Quai d'Orsay,Quai d'Orsay Especial d'Orsay Gift Pack,Box of 20,CHF,960.00,7872.00,11808.00,20,590.40,https://cigarviu.com/products/quai-dorsay-especial-dorsay-gift-pack
Cigar VIU,Cohiba,Cohiba Siglo 2,Box of 5,CHF,203.00,1664.60,2496.90,5,499.38,https://cigarviu.com/products/cohiba-siglo-2-slb-25
Cigar VIU,Cohiba,Cohiba Siglo 2,Tubos / Box of 3,CHF,132.00,1082.40,1623.60,3,541.20,https://cigarviu.com/products/cohiba-siglo-2-slb-25
Cigar VIU,Cohiba,Cohiba Short Humidor Year of the Horse,默认,CHF,230.00,1886.00,2829.00,,,https://cigarviu.com/products/cohiba-short-humidor-year-of-the-horse
Cigar VIU,Trinidad,Trinidad Wide Short,Box of 6,CHF,22.20,182.04,273.06,6,45.51,https://cigarviu.com/products/trinidad-wide-short
Cigar VIU,Intertabak AG,Quintero Tubulares,Tubos / Box of 3,CHF,14.80,121.36,182.04,3,60.68,https://cigarviu.com/products/quintero-tubulares
Cigar VIU,Partagas,Partagas Serie D No. 4 A/T,Box of 3,CHF,88.20,723.24,1084.86,3,361.62,https://cigarviu.com/products/partagas-serie-d-no-4-a-t-3
Cigar VIU,Punch,Les Fines Lames Adjustable Punch Bracelet Oscuro Ring I,默认,CHF,98.00,803.60,1205.40,,,https://cigarviu.com/products/les-fines-lames-adjustable-punch-bracelet-oscuro-ring-i
